canonical_name	abbreviation	format	standard_status	in_anno	in_ydb	anno_section	ydb_section	conflict_id	notes
$ASCII	$A	$A[SCII](expr[,intexpr])	ansi	true	true	pages/a107084.html#7.1.5.1	ProgrammersGuide/functions.rst#$ASCII()		
$CHAR	$C	$C[HAR](intexpr[,...])	ansi	true	true	pages/a107085.html#7.1.5.2	ProgrammersGuide/functions.rst#$CHAR()		
$DATA	$D	$D[ATA](glvn)	ansi	true	true	pages/a107086.html#7.1.5.3	ProgrammersGuide/functions.rst#$DATA()		
$DEXTRACT	$DE	$DE[XTRACT] ( [ initialrecordvalue ] , extracttemplate , L [ recordfieldvalue ] )	ansi	true	false	pages/a107087.html#7.1.5.4		CONF-015	
$DPIECE	$DP	$DP[IECE] ( [ initialrecordvalue ] , piecedelimiter , L [ recordfieldvalue ] )	ansi	true	false	pages/a107088.html#7.1.5.5		CONF-016	
$EXTRACT	$E	$E[XTRACT](expr[,intexpr1[,intexpr2]])	ansi	true	true	pages/a107089.html#7.1.5.4	ProgrammersGuide/functions.rst#$EXTRACT()		
$FIND	$F	$F[IND](expr1,expr2[,intexpr])	ansi	true	true	pages/a107090.html#7.1.5.5	ProgrammersGuide/functions.rst#$FIND()		
$FNUMBER	$FN	$FN[UMBER](numexpr,expr[,intexpr])	ansi	true	true	pages/a107091.html#7.1.5.6	ProgrammersGuide/functions.rst#$FNUMBER()		
$GET	$G	$G[ET](glvn[,expr])	ansi	true	true	pages/a107092.html#7.1.5.7	ProgrammersGuide/functions.rst#$GET()		
$HOROLOG	$H	$H[OROLOG] ( intexpr )	ansi	true	false	pages/a107093.html#7.1.5.10		CONF-017	
$INCREMENT		$INCREMENT(glvn[,numexpr])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$INCREMENT()		
$JUSTIFY	$J	$J[USTIFY](expr,intexpr1[,intexpr2])	ansi	true	true	pages/a107094.html#7.1.5.8	ProgrammersGuide/functions.rst#$JUSTIFY()		
$LENGTH	$L	$L[ENGTH](expr1[,expr2])	ansi	true	true	pages/a107095.html#7.1.5.9	ProgrammersGuide/functions.rst#$LENGTH()		
$MUMPS	$M	$M[UMPS] ( expr )	ansi	true	false	pages/a107097.html#7.1.5.13		CONF-018	
$NAME	$NA	$NA[ME](glvn[,intexpr])	ansi	true	true	pages/a107098.html#7.1.5.10	ProgrammersGuide/functions.rst#$NAME()		
$NEXT	$N	$N[EXT](glvn)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$NEXT()		
$ORDER	$O	$O[RDER](glvn[,expr])	ansi	true	true	pages/a107100.html#7.1.5.11	ProgrammersGuide/functions.rst#$ORDER()		
$PIECE	$P	$P[IECE](expr1,expr2[,intexpr1[,intexpr2]])	ansi	true	true	pages/a107101.html#7.1.5.12	ProgrammersGuide/functions.rst#$PIECE()		
$QLENGTH	$QL	$QL[ENGTH](namevalue)	ansi	true	true	pages/a107102.html#7.1.5.13	ProgrammersGuide/functions.rst#$QLENGTH()		
$QSUBSCRIPT	$QS	$QS[UBSCRIPT](namevalue, intexpr)	ansi	true	true	pages/a107103.html#7.1.5.14	ProgrammersGuide/functions.rst#$QSUBSCRIPT()		
$QUERY	$Q	$Q[UERY](glvn[,expr])	ansi	true	true	pages/a107104.html#7.1.5.15	ProgrammersGuide/functions.rst#$QUERY()		
$RANDOM	$R	$R[ANDOM](intexpr)	ansi	true	true	pages/a107105.html#7.1.5.16	ProgrammersGuide/functions.rst#$RANDOM()		
$REVERSE	$RE	$RE[VERSE](expr)	ansi	true	true	pages/a107106.html#7.1.5.17	ProgrammersGuide/functions.rst#$REVERSE()		
$SELECT	$S	$S[ELECT](tvexpr:expr[,...])	ansi	true	true	pages/a107107.html#7.1.5.18	ProgrammersGuide/functions.rst#$SELECT()		
$STACK	$ST	$ST[ACK](intexpr[,expr])	ansi	true	true	pages/a107108.html#7.1.5.19	ProgrammersGuide/functions.rst#$STACK()		
$TEXT	$T	$T[EXT](entryref)	ansi	true	true	pages/a107109.html#7.1.5.20	ProgrammersGuide/functions.rst#$TEXT()		
$TRANSLATE	$TR	$TR[ANSLATE](expr1[,expr2[,expr3]])	ansi	true	true	pages/a107111.html#7.1.5.21	ProgrammersGuide/functions.rst#$TRANSLATE()		
$TYPE	$TY	$TY[PE] ( expratom )	ansi	true	false	pages/a107110.html#7.1.5.25		CONF-019	
$VIEW	$V	$V[IEW](expr1[,expr2])	ansi	true	true	pages/a107112.html#7.1.5.22	ProgrammersGuide/functions.rst#$VIEW()		
$Z	$Z	$Z[unspecified] ( unspecified )	ansi	true	false	pages/a107113.html#7.1.5.23		CONF-020	
$ZAHANDLE	$ZAHA	$ZAHA[NDLE](lvn)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZAHANDLE()		
$ZASCII	$ZA	$ZA[SCII](expr[,intexpr])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZASCII()		
$ZATRANSFORM		$ZATRANSFORM(expr,intexpr[,{0|1|2|-2}][,{0|1}])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZATRANSFORM()		
$ZBITAND		$ZBITAND(expr1,expr2)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZBIT Functions		
$ZCHAR	$ZCH	$ZCH[AR](intexpr[,...])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZCHAR()		
$ZCOLLATE	$ZCO	$ZCO[LLATE](glvn,intexpr[,{0|1}])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZCOLLATE()		
$ZCONVERT	$ZCO	$ZCO[NVERT](expr1, expr2,[expr3])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZCONVERT()		
$ZDATA	$ZDAT	$ZDAT[A](glvn)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZDATA()		
$ZDATE	$ZD	$ZD[ATE](expr1[,expr2[,expr3[,expr4]]]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZDATE()		
$ZEXTRACT	$ZE	$ZE[XTRACT](expr[,intexpr1[,intexpr2]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZEXTRACT()		
$ZFIND	$ZF	$ZF[IND](expr1,expr2[,intexpr])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZFIND()		
$ZGETJPI		$ZGETJPI(expr1,expr2)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZGETJPI()		
$ZJOBEXAM		$ZJOBEXAM([expr1[,expr2]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZJOBEXAM()		
$ZJUSTIFY	$ZJ	$ZJ[USTIFY](expr,intexpr1[,intexpr2])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZJUSTIFY()		
$ZLENGTH	$ZL	$ZL[ENGTH](expr1[,expr2])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZLENGTH()		
$ZMESSAGE	$ZM	$ZM[ESSAGE](intexpr)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZMESSAGE()		
$ZPARSE		$ZPARSE(expr1[,expr2[,expr3[,expr4[,expr5]]]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZPARSE()		
$ZPEEK		"$ZPEEK(""mnemonic[:argument]"",offset,length[,format])"	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZPEEK()		
$ZPIECE	$ZPI	$ZPI[ECE](expr1,expr2[,intexpr1[,intexpr2]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZPIECE()		
$ZPREVIOUS	$ZP	$ZP[REVIOUS](glvn)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZPREVIOUS()		
$ZQGBLMOD		$ZQGBLMOD(gvn)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZQGBLMOD()		
$ZSEARCH		$ZSEARCH(expr[,intexpr])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZSEARCH()		
$ZSIGPROC		$ZSIGPROC(expr1,expr2)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZSIGPROC()		
$ZSOCKET		$ZSOCKET(expr1,expr2[,[expr3][,expr4]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZSOCKET()		
$ZSUBSTR	$ZSUB	$ZSUB[STR] (expr ,intexpr1 [,intexpr2])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZSUBSTR()		
$ZSYSLOG		$ZSYSLOG(expr)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZSYSLOG()		
$ZTRANSLATE	$ZTR	$ZTR[ANSLATE](expr1[,expr2[,expr3]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZTRANSLATE()		
$ZTRIGGER		$ZTRIgger(expr1[,expr2])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZTRIGGER()		
$ZTRNLNM		$ZTRNLNM(expr1[,expr2[,expr3[,expr4[,expr5[,expr6]]]]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZTRNLNM()		
$ZUADITLOG		$ZUADITLOG(expr)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZAUditlog()		
$ZWIDTH	$ZW	$ZW[IDTH] (expr)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZWIDTH()		
$ZWRITE		$ZWRITE(expr[,intexpr])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZWRITE()		
$ZYCOMPILE		$ZYCOMPILE(string)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZYCOmpile()		
$ZYHASH		$ZYHASH(string[,salt])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZYHASH()		
$ZYISSQLNULL		$ZYISSQLNULL(expr)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZYISSQLNULL()		
$ZYSUFFIX	$ZYSU	$ZYSU[FFIX](string)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZYSUFFIX()		
