canonical_name	abbreviation	section_number	format	standard_status_hint	source_section	description
$DEVICE	$D	7.1.4.10	$D[EVICE]	ansi	pages/a107058.html#7.1.4.10	$Device reflects the status of the current device. If the status of the device does not reflect any error-condition, the value of $Device , when interpreted as a truth-value, will be 0 (false). If the status of the device would reflect any error-condition, the value of $Device , when interpreted as a truth-value, will be 1 (true). $Device will give status code and meaning in one access. Its value is one of │ │ │ │ M M,I M,I,T │ │ │ │ where M is an MDC defined value , I is an implementor defined value and T is explanatory text. The value of M, when interpreted as a truth value, will be equal to 0 (zero) when no significant change of status is being reported. Any nonzero value indicates a significant change of status. The value of I is an implementation-specific value for the relevant status-information. The value of T is implementation specific. Note: Since M, I, and T are separated by commas, the values of M and I cannot contain this character.
$ECODE	$EC	7.1.4.10	$EC[ODE]	ansi	pages/a107059.html#7.1.4.10	contains information about an error condition. This information is loaded by the implementation after detecting an erroneous condition, or by the application via the Set command. When the value of $ECode is the empty string, normal routine execution rules are in effect. When $ECode contains anything else, the execution rules in 6.3.2 (Error processing) are active. When a process is initiated, but before any commands are processed, the value of $ECode is the empty string. The syntax of a non-empty value returned by $ECode is as follows: , L ecode , ecode ::= │ │ │ │ M U Z │ │ │ │ [ noncomma ] noncomma ::= any of the characters in graphic except the comma character Note: ecode s beginning with: M are reserved for the MDC U are reserved for the user Z are reserved for the implementation All other values are reserved.
$ESTACK	$ES	7.1.4.10	$ES[TACK]	ansi	pages/a107060.html#7.1.4.10	counts stack levels in the same way as $STack, however, a New $EStack saves the value of $EStack and then assigns $EStack the value of 0. When a process is initiated, but before any commands are processed, the value of $EStack is 0 (zero).
$ETRAP	$ET	7.1.4.10	$ET[RAP]	ansi	pages/a107061.html#7.1.4.10	"contains code which is invoked in the event an error condition occurs. See 6.3.2- Error processing. When a process is initiated, but before any commands are processed, the value of $ETrap is the empty string. The value of $ETrap may be stacked with the New command; New $ETrap has the effect of saving the current instantiation of $ETrap and creating a new instantiation initialized with the same value. The value of $ETrap is changed with the Set command. Changing the value of $ETrap with a Set command instantiates a new trap; it does not save the old trap. A Quit from $ETrap , either explicit or implicit (i.e., Set $ETrap ="" Do ^ETRAP"" has an implicit Quit at its end with an empty argument, if appropriate) will function as if a Quit had been issued at the ""current"" $STack. Behavior at the ""popped"" level will be determined by the value of $ECode . If $ECode is empty, execution proceeds normally. Otherwise, $ETrap is invoked at the new level."
$HOROLOG	$H	7.1.4.10	$H[OROLOG]	ansi	pages/a107062.html#7.1.4.10	$Horolog gives date and time with one access. Its value is D , S where D is an integer value counting days since an origin specified below, and S is an integer value modulo 86,400 counting seconds. The value of $Horolog for the first second of December 31, 1840 is defined to be 0,0. S increases by 1 each second and S clears to 0 with a carry into D on the tick of midnight.
$IO	$I	7.1.4.10	$I[O]	ansi	pages/a107063.html#7.1.4.10	$IO identifies the current I/O device (see 8.2.2 and 8.2.23).
$JOB	$J	7.1.4.10	$J[OB]	ansi	pages/a107065.html#7.1.4.10	Each executing process has its own job number, a positive integer which is the value of $Job . The job number of each process is unique to that process within a domain of concurrent processes defined by the implementor. $Job is constant throughout the active life of a process.
$KEY	$K	7.1.4.10	$K[EY]	ansi	pages/a107066.html#7.1.4.10	$Key contains the control-sequence which terminated the last Read command from the current device (including any introducing and terminating characters). If no Read command was issued to the current device or when no terminator was used, the value of $Key will be the empty string. The effect of a Read * glvn on $Key is unspecified. If a Character Set Profile input-transform is in effect, then this is also applied to the value stored in $Key . See ( Read command) and ( Write command).
$PRINCIPAL	$P	7.1.4.10	$P[RINCIPAL]	ansi	pages/a107068.html#7.1.4.10	$Principal identifies the principal I/O device. The principal I/O device is the device that is the current device at the moment when a process is started, so that the value of $Principal will be equal to the initial value of $IO . (See Close and Use commands).
$QUIT	$Q	7.1.4.10	$Q[UIT]	ansi	pages/a107069.html#7.1.4.10	$Quit returns 1 if the current PROCESS-STACK frame was invoked by an exfunc or exvar , and therefore a Quit would require an argument. Otherwise, $Quit returns 0 (zero). When a process is initiated, but before any commands are processed, the value of $Quit is 0 (zero).
$STACK	$ST	7.1.4.10	$ST[ACK]	ansi	pages/a107071.html#7.1.4.10	$STack gives the current level of the PROCESS-STACK. $STack contains an integer value of zero or greater. When a process is initiated, but before any commands are processed, the value of $STack is 0 (zero). See 7.1.2.3 (process-stack) for a description of stack behavior.
$STORAGE	$S	7.1.4.10	$S[TORAGE]	ansi	pages/a107072.html#7.1.4.10	Each implementation must return for the value of $Storage an integer which is the number of characters of free space available for use. The method of arriving at the value of $Storage is not part of the standard.
$SYSTEM	$SY	7.1.4.10	$SY[STEM]	ansi	pages/a107073.html#7.1.4.10	Each implementation must return a value in $SYstem which represents uniquely the system representing the domain of concurrent processes for which $Job is unique. Its value is V,S where V is an integer value allocated by the MDC to an implementor and S is defined by that implementor in such a way as to be able to be unique for all the implementor’s systems.
$TEST	$T	7.1.4.10	$T[EST]	ansi	pages/a107074.html#7.1.4.10	$Test contains the truth value computed from the execution of an If command containing an argument, or an Open , Lock, Job, or Read command with a timeout (see 7.1.4.8, 7.1.4.9, and 8.2.3).
$TLEVEL	$TL	7.1.4.10	$TL[EVEL]	ansi	pages/a107075.html#7.1.4.10	$TLevel indicates whether a TRANSACTION is currently in progress. It is initialized to zero when a process begins. TStart adds 1 to $TLevel . When $TLevel is greater than zero, TCommit subtracts 1 from $TLevel . A ROLLBACK or REstart sets $TLevel to zero.
$TRESTART	$TR	7.1.4.10	$TR[ESTART]	ansi	pages/a107076.html#7.1.4.10	$TRestart indicates how many REstart s have occurred since the initiation of a TRANSACTION. It is initialized to zero when a process begins, and set to zero by the successful completion of TCommit or TROllback . Each REstart adds 1 to $TRestart .
$ZUNSPECIFIED	$Z	7.1.4.10	$Z[unspecified]	ansi	pages/a107079.html#7.1.4.10	Z is the initial letter reserved for defining non-standard intrinsic special variables. The requirement that $Z be used permits the unused initial letters to be reserved for future enhancement of the standard without altering the execution of existing routines which observe the rules of the standard.
